product_id,name,price,quantity,category,description,production_date,expiration_date,rating,status
1,Пакеты для мастер-класса,7877,367,Товары для дома,Помогает поддерживать нормальный уровень энергии и выносливости.,2017-04-03,2020-06-08,2.61,Delivered
2,Грудинка копченая,4199,492,Мясо,"Имеет низкий гликемический индекс, что делает его безопасным для диабетиков.",2002-04-06,2006-08-09,0.16,In Stock
3,"Орехи (грецкий орех, миндаль, фундук)",1037,385,Бакалея,"Обладает приятным вкусом и мягкой текстурой, что делает его популярным выбором среди потребителей.",2009-01-22,2015-01-02,2.58,Refunded
4,Крыжовник,8055,877,Фрукты,Помогает снизить риск развития сердечно-сосудистых заболеваний.,2005-01-13,2012-01-08,2.43,In Stock
5,Айран,3445,508,Молочные продукты,"Помогает поддерживать нормальный уровень гистамина, важного для иммунной системы.",1993-01-01,2015-07-19,0.01,Pending
6,Турнепс,1137,565,Овощи,"Отличается низким содержанием жира, что делает его подходящим для тех, кто следит за фигурой.",1995-01-25,2000-01-01,4.33,On Backorder
7,Топлёное молоко,7079,933,Молочные продукты,Помогает поддерживать здоровый цвет лица и упругость кожи.,1995-04-04,2007-03-01,1.66,Returned
8,Ложки чайные,3905,138,Товары для дома,"Отличается высоким содержанием эллаговой кислоты, вещества, обладающего противораковыми свойствами.",2008-01-01,2014-06-16,0.79,Pending
9,Консервы мясные,3420,688,Мясо,"Отличается высоким содержанием L-карнозина, аминокислоты, полезной для мышц и мозга.",2010-10-01,2024-05-02,2.32,Awaiting Review
10,Айва,5068,125,Фрукты,"Отличается высоким содержанием фолиевой кислоты, необходимой для формирования новых клеток.",1997-04-04,2000-04-03,1.19,Awaiting Review
11,Каша из дробленной булгурной крупы,663,100,Бакалея,"Отличается высоким содержанием рибофлавина, необходимого для здоровья кожи и зрения.",2015-08-01,2029-03-11,3.39,On Backorder
12,Эмменталь,9084,107,Молочные продукты,Помогает поддерживать мышечную массу и улучшает спортивные результаты.,2013-03-17,2027-02-03,4.69,Available for Pickup
13,Газированная вода,8762,67,Напитки,"Отличается широким ассортиментом вкусов и форматов, удовлетворяя потребности разных категорий потребителей.",2013-07-18,2029-02-15,1.43,In Stock
14,Кефир,1928,427,Молочные продукты,Прошел сертификацию на соответствие требованиям органических стандартов.,1996-06-01,2015-04-10,1.55,On Backorder
15,Vittel,2309,586,Напитки,"Отличается высоким содержанием капсаицина, вещества, ускоряющего метаболизм и уменьшающего боль.",1996-06-03,2017-04-13,2.26,Awaiting Review
16,Кольраби,4480,326,Овощи,Помогает улучшить когнитивные функции и память.,2001-02-02,2025-01-02,2.58,Awaiting Review
17,Редис,6709,5,Овощи,"Отличается высоким содержанием кверцетина, флавоноида, обладающего антиоксидантными и противовоспалительными свойствами.",2001-04-21,2010-10-04,4.89,Returned
18,Репа,9039,498,Овощи,"Отличается высоким содержанием нарингина, флавоноида, полезного для снижения уровня холестерина и улучшения пищеварения.",2013-02-04,2022-10-06,1.05,In Stock
19,Боржоми,1470,322,Напитки,"Помогает поддерживать нормальный уровень адреналина, гормона стресса и возбуждения.",2008-01-11,2024-06-02,1.93,In Stock
20,Фейхоа,9033,6,Фрукты,Способствует снижению уровня стресса и улучшению настроения.,2003-08-17,2007-08-05,1.94,Awaiting Review
